,period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
0,2019-01-31,0.87059592,34.56167245,11.24942681,134233128.0,1.68248231,0.02017121,49.0,31.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.86,IN,Indianapolis,Office
1,2019-02-28,0.875,34.56167245,11.24942681,134233128.0,1.68248231,0.02017121,49.0,47.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.72,IN,Indianapolis,Office
2,2019-03-31,0.875,34.56167245,11.24655129,134233128.0,1.68002982,0.02017121,49.0,47.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.09,IN,Indianapolis,Office
3,2019-04-30,0.875,34.56167245,11.24655129,134233128.0,1.68002982,0.02111376,49.0,47.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.98,IN,Indianapolis,Office
4,2019-05-31,0.875,34.56167245,11.24655129,134233128.0,1.68002982,0.02111376,49.0,47.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.93,IN,Indianapolis,Office
5,2019-06-30,0.875,34.56167245,11.24655129,134233128.0,1.68002982,0.02255436,49.0,47.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.39,IN,Indianapolis,Office
6,2019-07-31,0.875,34.56167245,11.24655129,134233128.0,1.68002982,0.02255436,49.0,47.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.18,IN,Indianapolis,Office
7,2019-08-31,0.87407722,34.70904466,11.34339758,156373992.0,1.82237097,0.01383832,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.3,IN,Indianapolis,Office
8,2019-09-30,0.87407722,34.70904466,11.34339758,156373992.0,1.82237097,0.01383832,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,6.45,IN,Indianapolis,Office
9,2019-10-31,0.87383883,34.70904466,11.34339758,156373992.0,1.82237097,0.0016472,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.73,IN,Indianapolis,Office
10,2019-11-30,0.87383883,34.70904466,11.34339758,156373992.0,1.82237097,0.0016472,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.66,IN,Indianapolis,Office
11,2019-12-31,0.87383883,34.70904466,11.34339758,156373992.0,1.82237097,0.0016472,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.33,IN,Indianapolis,Office
12,2020-01-31,0.87383883,34.70904466,11.34339758,156373992.0,1.82237097,0.0088161,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,4.7,IN,Indianapolis,Office
13,2020-02-29,0.85669309,34.70904466,11.34339758,156373992.0,1.82237097,0.00807943,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,5.96,IN,Indianapolis,Office
14,2020-03-31,0.85669309,34.70904466,11.34339758,156373992.0,1.82237097,0.00807943,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,5.36,IN,Indianapolis,Office
15,2020-04-30,0.8598321,34.70904466,11.34339758,156373992.0,1.82237097,0.00840417,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,8.43,IN,Indianapolis,Office
16,2020-05-31,0.8598321,34.70904466,11.34339758,156373992.0,1.82237097,-0.06385162,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,7.97,IN,Indianapolis,Office
17,2020-06-30,0.8598321,34.70904466,11.34339758,156373992.0,1.82237097,-0.06385162,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,8.08,IN,Indianapolis,Office
18,2020-07-31,0.86076566,34.70904466,11.34339758,156373992.0,1.82237097,-0.05022795,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,7.81,IN,Indianapolis,Office
19,2020-08-31,0.86607046,34.90466539,11.34339758,156373992.0,1.82237097,-0.05719008,33.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,9.81,IN,Indianapolis,Office
20,2020-09-30,0.86607046,34.90466539,11.34339758,156373992.0,1.82237097,-0.05927122,33.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,8.69,IN,Indianapolis,Office
21,2020-10-31,0.86607046,34.90466539,11.34339758,156373992.0,1.82237097,-0.05927122,33.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,11.14,IN,Indianapolis,Office
22,2020-11-30,0.86607046,34.90466539,11.34339758,156373992.0,1.82237097,-0.05927122,33.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,10.37,IN,Indianapolis,Office
23,2020-12-31,0.86607046,34.90466539,11.34339758,156373992.0,1.82237097,-0.05927122,33.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,10.12,IN,Indianapolis,Office
24,2021-01-31,0.86619011,34.90466539,11.34339758,156373992.0,1.82237097,-0.06158696,33.0,43.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,10.99,IN,Indianapolis,Office
25,2021-02-28,0.84707734,34.90466539,11.34339758,156373992.0,1.82237097,-0.02667625,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,12.28,IN,Indianapolis,Office
26,2021-03-31,0.84707734,34.90466539,11.34339758,156373992.0,1.82237097,-0.02667625,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.08,IN,Indianapolis,Office
27,2021-04-30,0.8420867,34.90466539,11.34339758,156373992.0,1.82237097,0.00424815,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,12.33,IN,Indianapolis,Office
28,2021-05-31,0.8420867,34.90466539,11.34339758,156373992.0,1.82237097,0.00424815,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.66,IN,Indianapolis,Office
29,2021-06-30,0.8420867,34.90466539,11.34339758,156373992.0,1.82237097,0.00424815,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.79,IN,Indianapolis,Office
30,2021-07-31,0.845,34.90466539,11.34339758,156373992.0,1.82237097,0.05295913,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.65,IN,Indianapolis,Office
31,2021-08-31,0.845,34.90466539,11.34339758,156373992.0,1.82237097,0.01900422,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,16.13,IN,Indianapolis,Office
32,2021-09-30,0.845,34.90466539,11.34339758,156373992.0,1.82237097,0.01900422,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.1,IN,Indianapolis,Office
33,2021-10-31,0.845,34.90466539,11.34339758,156373992.0,1.82237097,0.06006731,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.42,IN,Indianapolis,Office
34,2021-11-30,0.845,34.90466539,11.34339758,156373992.0,1.82237097,0.06006731,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.95,IN,Indianapolis,Office
35,2021-12-31,0.845,34.90466539,11.34339758,156373992.0,1.82237097,0.06006731,33.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.11,IN,Indianapolis,Office
36,2022-01-31,0.845,34.75973552,11.34339758,156373992.0,1.82237097,0.04465799,33.0,30.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,12.78,IN,Indianapolis,Office
37,2022-02-28,0.82755813,34.82546358,11.94840431,169530588.0,2.12126586,0.04461708,33.0,29.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,13.26,IN,Indianapolis,Office
38,2022-03-31,0.82755813,34.82546358,11.94840431,169530588.0,2.12126586,0.04461708,33.0,29.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,13.15,IN,Indianapolis,Office
39,2022-04-30,0.829,34.82546358,11.94840431,169530588.0,2.12126586,0.06246079,33.0,29.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,14.29,IN,Indianapolis,Office
40,2022-05-31,0.829,34.82546358,11.94840431,169530588.0,2.12126586,0.06246079,33.0,29.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,16.61,IN,Indianapolis,Office
41,2022-06-30,0.829,34.82546358,11.94840431,169530588.0,2.12126586,0.06246079,33.0,29.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,16.59,IN,Indianapolis,Office
42,2022-07-31,0.829,34.82546358,11.94840431,169530588.0,2.12126586,0.06335926,33.0,29.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,14.84,IN,Indianapolis,Office
43,2022-08-31,0.829,34.82546358,11.94840431,169530588.0,2.12126586,0.02108078,39.0,30.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,13.27,IN,Indianapolis,Office
44,2022-09-30,0.829,34.82546358,11.94840431,169530588.0,2.12126586,-0.01201533,39.0,30.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,14.93,IN,Indianapolis,Office
45,2022-10-31,0.829,34.82546358,11.94840431,169530588.0,2.12126586,-0.01201533,39.0,30.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,16.25,IN,Indianapolis,Office
46,2022-11-30,0.829,34.82546358,11.94840431,169530588.0,2.12126586,-0.08204732,39.0,30.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,15.46,IN,Indianapolis,Office
47,2022-12-31,0.829,34.82546358,11.94840431,169530588.0,2.12126586,-0.08204732,39.0,30.0,130.43,7.89,2.5,72152.44,13.79,85.96,0.23,63.84,60265.87,148544.82,33.79,4.56,0.7,0.72,62.62,0.87,1.79,-28.09,14.82,IN,Indianapolis,Office
48,2023-01-31,0.829,34.65484324,11.94840431,169530588.0,2.12126586,-0.07546408,39.0,30.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,13.49,IN,Indianapolis,Office
49,2023-02-28,0.83222074,34.65484324,12.00662992,125535600.0,2.1260129,-0.14572615,41.0,27.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,15.0,IN,Indianapolis,Office
50,2023-03-31,0.83222074,34.65484324,12.00662992,125535600.0,2.1260129,-0.14572615,41.0,27.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,15.12,IN,Indianapolis,Office
51,2023-04-30,0.827,34.65484324,12.00662992,125535600.0,2.1260129,-0.24346458,41.0,27.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,15.48,IN,Indianapolis,Office
52,2023-05-31,0.827,34.65484324,12.00662992,125535600.0,2.1260129,-0.24346458,41.0,27.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,13.18,IN,Indianapolis,Office
53,2023-06-30,0.827,34.79309614,12.00662992,125535600.0,2.1260129,-0.26998204,41.0,27.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,12.89,IN,Indianapolis,Office
54,2023-07-31,0.827,34.79309614,12.00662992,125535600.0,2.1260129,-0.26998204,41.0,27.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,12.33,IN,Indianapolis,Office
55,2023-08-31,0.827,34.79309614,12.00662992,125535600.0,2.1260129,-0.31840855,41.0,25.0,135.7,4.03,2.49,74039.56,13.69,86.06,0.23,64.01,61055.48,151017.72,33.88,4.6,0.62,0.64,62.78,0.77,2.09,18.45,12.33,IN,Indianapolis,Office
56,2019-01-31,0.88331995,35.18532988,14.10823765,175248806.0,3.2257148,-0.00373386,44.0,29.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.86,IN,Indianapolis,Mall
57,2019-02-28,0.88201413,35.18532988,14.10823765,175248806.0,3.2257148,-0.00373386,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.72,IN,Indianapolis,Mall
58,2019-03-31,0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00373386,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.09,IN,Indianapolis,Mall
59,2019-04-30,0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00289287,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.98,IN,Indianapolis,Mall
60,2019-05-31,0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00289287,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.93,IN,Indianapolis,Mall
61,2019-06-30,0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00529582,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.39,IN,Indianapolis,Mall
62,2019-07-31,0.88201413,35.18532988,14.12314795,175248806.0,3.23492662,-0.00529582,44.0,41.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.18,IN,Indianapolis,Mall
63,2019-08-31,0.87505547,35.27737933,14.29473792,204154934.0,3.35373416,-0.01162744,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.3,IN,Indianapolis,Mall
64,2019-09-30,0.87505547,35.27737933,14.29473792,204154934.0,3.35373416,-0.01162744,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,6.45,IN,Indianapolis,Mall
65,2019-10-31,0.875,35.27737933,14.29473792,204154934.0,3.35373416,0.00231468,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,5.73,IN,Indianapolis,Mall
66,2019-11-30,0.875,35.27737933,14.29473792,204154934.0,3.35373416,0.00231468,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.66,IN,Indianapolis,Mall
67,2019-12-31,0.875,35.27737933,14.29473792,204154934.0,3.35373416,0.00231468,43.0,42.0,114.42,1.51,2.61,62502.0,14.14,85.61,0.23,64.87,58414.89,141680.01,33.16,4.32,0.84,0.88,61.96,1.07,2.67,-6.25,4.33,IN,Indianapolis,Mall
68,2020-01-31,0.87505343,35.27737933,14.29473792,204154934.0,3.35373416,0.00300401,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,4.7,IN,Indianapolis,Mall
69,2020-02-29,0.88925422,35.27737933,14.29473792,204154934.0,3.35373416,0.00300401,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,5.96,IN,Indianapolis,Mall
70,2020-03-31,0.88925422,35.27737933,14.29473792,204154934.0,3.35373416,0.00300401,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,5.36,IN,Indianapolis,Mall
