,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,period_begin,remote_work_share
0,0,0,0,0,0,0.92870924,39.87272616,10.32129569,974018394.0,5.19905814,0.07756636,6.0,39.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-01-31,5.3
1,1,1,1,1,1,0.925,39.87272616,10.32129569,974018394.0,5.19905814,0.07756636,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-02-28,5.79
2,2,2,2,2,2,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07756636,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-03-31,5.83
3,3,3,3,3,3,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07611387,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-04-30,6.32
4,4,4,4,4,4,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07611387,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-05-31,5.72
5,5,5,5,5,5,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07494761,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-06-30,5.97
6,6,6,6,6,6,0.925,39.87272616,10.35353466,974018394.0,5.25253122,0.07494761,6.0,37.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-07-31,5.3
7,7,7,7,7,7,0.94708313,39.9212003,10.44892243,1620416722.0,5.38928595,0.08954909,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-08-31,6.19
8,8,8,8,8,8,0.94708313,39.9212003,10.44892243,1620416722.0,5.38928595,0.08954909,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-09-30,6.18
9,9,9,9,9,9,0.9468333,39.9212003,10.44892243,1620416722.0,5.38928595,0.10087376,8.0,31.0,129.68,3.31,2.74,114696.0,11.25,88.6,0.13,64.68,105911.68,247501.9,41.12,3.96,-0.07,-0.14,73.88,0.05,4.38,-3.57,2019-10-31,6.18
